ampm,borough,cause,type,date,message,subject,time,hours,minutes,train,,,
PM,BKLYN,signal malfunction,train,11/06/19,Q trains are running with delays in both directions because of a signal malfunction at Coney Island-Stillwell Av.,bklyn q trains signal malfunction,9:20:17,9,20,Q,,,
AM,MANH,brake activation,train,11/06/19,"Northbound R trains are running on the Q line from DeKalb Av to Canal St while we investigate why a train's brakes were activated at Whitehall St.

For service to/from bypassed stations, consider using southbound R train service.

Expect delays in northbound N, Q and R service.",manh r trains train with brake activation,11:36:25,11,36,R,,,
AM,MANH,unauthorized person,person,11/06/19,Southbound R and W trains are delayed while NYPD investigates reports of an unauthorized person on the tracks at 34 St-Herald Sq.,manh r and w trains unauthorized person on the tracks,7:47:11,7,47,R,,,
PM,MANH,disruptive passenger,person,11/06/19,42 St Shuttle trains are delayed in both directions while we request NYPD assistance for a disruptive passenger at Grand Central-42 St.,manh 42 st shuttle trains disruptive passenger,5:59:11,5,59,S,,,
PM,MANH,brake activation,train,11/07/19,"Northbound 1 trains are running on the express track from Times Sq-42 St to 72 St while we investigate why a train's brakes were activated at 59 St-Columbus Circle.

For service to/from bypassed stations, take a southbound 1 train.",manh 1 trains brake activation,8:30:00,8,30,1,,,
AM,MANH,brake activation,train,11/07/19,Bronx-bound 1 trains are delayed while we investigate why a train's brakes were activated near 137 St-City College.,manh 1 trains brake activation,1:19:34,1,19,1,,,
AM,MANH,injured customer,person,11/07/19,Southbound 2 and 3 trains are delayed while we investigate reports of an injured customer at 135 St.,manh 2 and 3 trains injured customer,8:04:50,8,4,2,,,
PM,BKLYN,medical problems,person,11/07/19,Southbound 2 trains are delayed while we provide medical help to someone at Flatbush Av-Brooklyn College.,bklyn 2 trains medical help,8:24:12,8,24,2,,,
PM,BKLYN,brake activation,train,11/07/19,4 trains are delayed in both directions in Brooklyn while we investigate why a train's brakes were activated at Crown Hts-Utica Av.,bklyn 4 trains brake activation,9:28:01,9,28,4,,,
AM,BX,medical problems,person,11/07/19,"Southbound 5 trains are skipping 138 St-Grand Concourse while we get medical help for a customer at that station.

Some southbound 5 trains will run on the 2 line between 149 St-Grand Concourse and Nevins St.

Expect delays in southbound service.

For alternate service to/from 138 St-Grand Concourse, take a northbound train.

Reminder: Southbound 4 trains do not stop at 138 St-Grand Concourse at this time.",bx 5 train medical help,7:59:33,7,59,5,,,
PM,MANH,disruptive passenger,person,11/07/19,Expect longer wait times in 6 train service in both directions after we requested NYPD assistance for earlier disruptive passengers at Grand Central-42 St and 59 St.,manh 6 trains disruptive passenger,6:34:50,6,34,6,,,
PM,BX,mechanical problems,train,11/07/19,Southbound 6 trains are running with delays while we investigate a work train with mechanical problems at Hunts Point Av.,bx 6 trains mechanical problem,7:58:23,7,58,6,,,
PM,MANH,brake activation,train,11/07/19,Northbound A and C trains are holding in stations in Brooklyn while we investigate why a train's brakes were activated at Fulton St.,manh a and c trains brake activation,7:36:25,7,36,A,,,
PM,MANH,disruptive passenger,person,11/07/19,Northbound A and D trains are delayed while we request NYPD assistance for a disruptive passenger at 125 St.,manh a and d trains disruptive passenger,4:21:52,4,21,A,,,
AM,MANH,injured person,person,11/07/19,A and D trains are delayed in both directions while we request emergency teams for an injured passenger at 59 St-Columbus Circle.,manh a and d trains injured passenger,1:32:52,1,32,A,,,
PM,MANH,injured person,person,11/07/19,"Downtown A trains are stopping along the D line from 59 St-Columbus Circle to West 4 St-Washington Square, then on the F line to Jay St-MetroTech while we request emergency teams for an injured passenger at Chambers St. 

For service to/from bypassed stations, take a 59 St-bound A train. 
At Chambers St, Canal St and Spring St stations, E train service is available.",manh a trains injured passenger,11:18:48,11,18,A,,,
AM,MANH,disruptive passenger,person,11/07/19,Southbound B and C trains are running with delays while NYPD investigates a report of an disruptive passenger at 135 St.,manh b and c trains disruptive passenger,8:36:29,8,36,B,,,
PM,MANH,unsanitary train,person,11/07/19,Southbound B and D trains are delayed while we remove a soiled car from service at W 4 St-Washington Sq.,manh b and d trains soiled car,7:32:23,7,32,B,,,
PM,BKLYN,medical problems,person,11/07/19,Expect longer wait time in D and N train service as they share the track with R trains while we request medical assistance for someone at Atlantic Av-Barclays Ctr.,bklyn d and n trains medical assistance,7:55:19,7,55,D,,,
PM,MANH,medical problems,person,11/07/19,Northbound E and 71 Av-bound M trains are delayed while we request EMS assistance for someone at 5 Av-53 St.,manh e and m trains medical assistance,2:54:24,2,54,E,,,
PM,QNS,medical problems,person,11/07/19,Expect longer wait times in E and F train service as they share the track with M and R trains while we get EMS assistance for someone at 36 St (Qns).,qns e and f trains medical assistance,2:25:32,2,25,E,,,
PM,,struck by train,person,11/07/19,Expect extensive delays in 179 St-bound E train service because we removed power to allow emergency teams to assist someone that was struck by a train at Chambers St.,manh/qns e trains person struck by a train,11:59:33,11,59,E,,,
AM,QNS,door problems,train,11/07/19,Expect longer waits for southbound F trains after we removed a train from service with a door problem at 179 St.,qns f trains door problems,8:14:13,8,14,F,,,
PM,BKLYN,signal problems,train,11/07/19,Northbound F and G trains are running with delays while we address a signal problem at 15 St-Prospect Park.,bklyn f and g trains signal problem,1:50:25,1,50,F,,,
AM,BKLYN,mechanical problems,train,11/07/19,There is a delay in northbound G service after we cancelled a trip because of a train with mechanical problems at Church Av,bklyn g trains cancelled trip,8:21:05,8,21,G,,,
PM,BKLYN,removed a train from service,train,11/07/19,"Jamaica-bound J, Z and Metropolitan Av-bound M trains are delayed while we remove a train from service at Myrtle Av.",bklyn j m and z trains train removed from service,5:55:20,5,55,J,,,
PM,BKLYN,struck by train,person,11/07/19,J trains are delayed in both directions while we request NYPD and EMS assistance for a person struck by a train at Gates Av.,bklyn j trains person struck by a train,7:24:03,7,24,J,,,
AM,MANH,medical problems,person,11/07/19,L trains are running with delays in both directions while we get medical help for someone at 8 Av.,manh l trains medical help,8:55:23,8,55,L,,,
PM,BKLYN,removed a train from service,train,11/07/19,Expect delays in Metropolitan Av-bound M train service while we remove a train from service at Myrtle Av.,bklyn m trains train removed service,6:08:06,6,8,M,,,
PM,QNS,sick passenger,person,11/07/19,"Forest Hills-71 Av-bound M and R trains are running on the express track from Queens Plaza to Jackson Hts-Roosevelt Av while we get EMS assistance for someone at 36 St, Queens.

For service to/from bypassed stations, take a Manhattan-bound train.",qns m and r trains sick customer,2:23:12,2,23,M,,,
AM,BKLYN,rail replacement,train,11/07/19,Astoria-bound N trains are delayed while crews perform rail replacement near 45 St.,bklyn n trains rail replacement,2:10:10,2,10,N,,,
PM,BKLYN,medical problems,person,11/07/19,"Northbound R trains are running express from 36 St (Bklyn) to Atlantic Av-Barclays Ctr while we request medical assistance for someone at Atlantic Av-Barclays Ctr. 

For service to/from bypassed stations, consider using southbound R trains.",bklyn r trains medical assistance,7:54:04,7,54,R,,,
PM,,maintenance,train,11/07/19,SIR trains are running with delays due to scheduled maintenance along the line.,si. sir trains scheduled maintenance,1:24:48,1,24,SIR,,,
PM,SI,slippery rails,other,11/07/19,SIR trains are running with delays in both directions because of slippery rails caused by the inclement weather.,si sir trains slippery rails,6:03:24,6,3,SIR,,,
AM,MANH,brake activation,train,11/08/19,South Ferry-bound 1 trains are running with delays while we investigate why a train's brake activation entering 96 St.,manh 1 train brake activation,7:58:30,7,58,1,,,
PM,MANH,door problems,train,11/08/19,Expect longer waits for a northbound 1 train while we remove a train with a door problem from service at 96 St.,manh 1 trains door problem,3:15:45,3,15,1,,,
AM,MANH,mechanical problems,train,11/08/19,Southbound 1 trains are delayed while we remove a train with a mechanical problem from service at 215 St.,manh 1 train mechanical problem,11:48:43,11,48,1,,,
AM,MANH,medical problems,person,11/08/19,Southbound 1 trains are running express from 96 St to 72 St while we request medical help for someone 96 St.,manh 1 trains medical help,8:49:11,8,49,1,,,
AM,MANH,signal problems,train,11/08/19,South Ferry-bound 1 trains are running with delays while we investigate a signal problem at 96 St.,manh 1 train signal problem,10:12:27,10,12,1,,,
PM,MANH,customer altercation,person,11/08/19,Northbound 2 and 3 trains are delayed while we request NYPD and EMS assistance with a customer altercation at Chambers St.,manh 2 and 3 trains customer altercation,9:07:06,9,7,2,,,
AM,MANH,unauthorized person,person,11/08/19,Downtown 2 and 3 trains are delayed while we remove power at the request of the police to respond to an unauthorized person on the tracks at (Central Park North)110 St.,manh 2 and 3 trains unauthorized person on the tracks,12:38:01,12,38,2,,,
PM,MANH,unsanitary train,person,11/08/19,Southbound 2 and 3 trains are holding in stations in upper Manhattan while we remove a soiled train car from service at 96 St.,manh 2 and 3 trains soiled car,9:33:15,9,33,2,,,
AM,MANH,brake activation,train,11/08/19,Some southbound 3 trains will make local stops from 96 St to Chambers St to provide local service while 1 trains are delayed.,manh 3 trains brake activation,8:00:47,8,0,3,,,
AM,MANH,injured person,person,11/08/19,"There is no 3 train service between Times Square-42 St and Harlem-148 St, while emergency teams assist an injured passenger at (Central Park North) 110 St. 
For continuing service, see a station agent and receive a free courtesy pass to nearby bus service.",manh 3 trains injured passenger,1:16:33,1,16,3,,,
PM,MANH,brake activation,train,11/08/19,Southbound 4 and 5 trains are delayed while we investigate why a train's brakes were activated at Brookyln Bridge-City Hall.,manh 4 and 5 trains brake activation,8:28:39,8,28,4,,,
AM,BX,brake activation,train,11/08/19,There's limited 4 train service north of Burnside Av while we investigate why a train's brake activation at Mosholu Pkwy.,bx 4 trains brake activation,11:06:59,11,6,4,,,
AM,BKLYN,brake activation,train,11/08/19,There are limited southbound 4 and 5 trains in Brooklyn while we investigate why a train's brake activation at Nevins St.,bklyn 4 and 5 trains brake activation,10:32:53,10,32,4,,,
PM,MANH,mechanical problems,train,11/08/19,Southbound 4 and 5 trains are delayed because of a work train with mechanical problems at Grand Central-42 St.,manh 4 and 5 trains mechanical problems,3:56:21,3,56,4,,,
AM,BKLYN,medical problems,person,11/08/19,Northbound 4 and 5 trains are proceeding with delays after NYPD assisted a customer at Borough Hall.,bklyn 4 and 5 trains medical help,7:23:17,7,23,4,,,
PM,BX,signal malfunction,train,11/08/19,Southbound 4 and 5 trains are moving at slower speeds between 149 St-Grand Concourse and 138 St-Grand Concourse while our crews work to correct a signal malfunction at 138 St-Grand Concourse.,bx 4 and 5 trains signal malfunction,4:00:14,4,0,4,,,
AM,MANH,switch problems,train,11/08/19,"Some southbound 5 trains will run on the local track from 125 St to Brooklyn Bridge-City Hall to provide local service while 6 trains are delayed.

Expect delays in southbound service.",manh 5 train switch problem,7:27:59,7,27,5,,,
AM,BX,switch problems,train,11/08/19,Southbound 6 local and 6 express express trains are running with delays while we address a switch problem at Parkchester,bx 6 trains switch problem,7:20:00,7,20,6,,,
PM,MANH,medical problems,person,11/08/19,7 trains are delayed in both directions while we request medical assistance for someone at 34 St-Hudson Yards.,manh 7 trains medical assistance,9:47:14,9,47,7,,,
AM,QNS,network communications issue,train,11/08/19,Expect longer waits for 34 St-bound 7 and 7 express trains after an earlier network connectivity issue at the storage facility.,qns 7 train network communications issue,7:50:07,7,50,7,,,
PM,QNS,nypd investigation,person,11/08/19,34 St-bound 7 trains are delayed because of an NYPD investigation at Queensboro Plaza.,qns 7 train nypd investigation,10:38:29,10,38,7,,,
AM,QNS,brake activation,train,11/08/19,Far Rockaway-bound A trains are delayed while we investigate why a train's brakes were activated at Aqueduct-North Conduit Av.,qns a trains brakes activity,5:29:32,5,29,A,,,
AM,BKLYN,assault,person,11/08/19,Northbound A and C trains are delayed while we remove a train from service and get medical help for a conductor at Hoyt-Schermerhorn.,bklyn a and c trains assaulted,7:06:58,7,6,A,,,
PM,BKLYN,disruptive passenger,person,11/08/19,You may experience longer waits for northbound A trains after earlier reports of disruptive passengers at Utica Av.,bklyn a trains disruptive passengers,8:33:44,8,33,A,,,
AM,MANH,door problems,train,11/08/19,Northbound A trains are delayed while we remove a train with a door problem from service at 34 St-Penn Station.,manh a train door problem,8:52:34,8,52,A,,,
AM,BKLYN,door problems,train,11/08/19,"Some northbound A and C trains are running on the F line from Jay St-MetroTech to W 4 St-Wash Sq while we investigate a train that is experiencing a door problem and had its brake activation at High St.

Expect delays in northbound service.",bklyn a and c trains door problem/brake activation,8:28:30,8,28,A,,,
PM,MANH,nypd investigation,person,11/08/19,Southbound A B C D service is delayed while NYPD responds to a customer altercation at 59 St-Columbus Circle.,manh a b c and d trains nypd investigation,3:11:38,3,11,A,,, d
AM,BKLYN,struck by train,person,11/08/19,A trains are delayed in both directions while we investigate a report of someone that was struck by a train at Grant Av.,bklyn a trains investigation of a person struck by a train,2:20:23,2,20,A,,,
AM,,struck by train,person,11/08/19,Expect longer wait times in 59 St-bound A train service after someone was struck by a train at Chambers St.,manh/bklyn/qns a trains longer wait times,12:41:14,12,41,A,,,
AM,MANH,struck by train,person,11/08/19,Continue to expect longer wait times in 207 St-bound A trains in Manhattan after someone was struck by a train earlier at Grant Av.,manh a trains longer wait times,4:51:55,4,51,A,,,
AM,,door problems,train,11/08/19,Expect longer wait times for Euclid Av-bound C trains after we removed a train with door problems from service at 23 St.,manh/bklyn c train earlier door problem,6:00:52,6,0,C,,,
AM,MANH,ems help,person,11/08/19,Northbound C trains are delayed while we get EMS assistance for a customer at 50 St.,manh c train ems assistance,8:08:45,8,8,C,,,
AM,BKLYN,mechanical problems,train,11/08/19,"Northbound D, N and Q trains are delayed because of a work train experiencing a mechanical problem on the Manhattan Bridge. 

For service from Brooklyn to Manhattan, consider taking 2 or 4 train service.",bklyn d n and q trains mechanical problem,2:14:27,2,14,D,,,
AM,QNS,nypd activity,person,11/08/19,Southbound E and F trains are running with delays while R trains are running on the express track as NYPD responds to Elmhurst Av.,qns e and f trains nypd assistance,9:05:04,9,5,E,,,
AM,QNS,signal problems,train,11/08/19,Expect longer wait times in Queens for Jamaica-bound E trains because of an earlier signal problem at Jackson Hts-Roosevelt Av.,qns e train signal problem,5:45:09,5,45,E,,,
AM,BKLYN,door problems,train,11/08/19,Expect longer wait times in Jamaica-bound F trains while we remove a train with a door problem at Avenue I.,bklyn f trains door problem,5:32:18,5,32,F,,,
PM,BKLYN,door problems,train,11/08/19,Southbound F trains are delayed while our crews work to correct a door malfunction on a train at Avenue P.,bklyn f trains door malfunction,5:11:03,5,11,F,,,
PM,QNS,removed a train from service,train,11/08/19,Northbound F trains are holding in stations in Queens while we remove a train from service at Briarwood.,qns f trains train removed from service,7:02:06,7,2,F,,,
AM,BKLYN,mechanical problems,train,11/08/19,Expect longer waits for Court Sq-bound G trains because of a mechanical problem on a train at Church Av.,bklyn g train mechanical problem,7:41:17,7,41,G,,,
PM,BKLYN,signal malfunction,train,11/08/19,Parsons-Archer-bound J trains are delayed while we work to correct a signal malfunction at Van Siclen Av.,bklyn j trains signal malfunction,8:27:13,8,27,J,,,
PM,BKLYN,disruptive passenger,person,11/08/19,Canarsie-bound L trains are holding in stations while we request NYPD assistance for a disruptive passenger at Broadway Junction.,bklyn l trains disruptive passenger,9:31:16,9,31,L,,,
AM,BKLYN,door problems,train,11/08/19,Canarsie-bound L trains are delayed while we investigate a door problem on a train at Bushwick Av-Aberdeen St.,bklyn l train door problem,10:14:41,10,14,L,,,
AM,QNS,nypd activity,person,11/08/19,M and R trains are being held in stations in both directions while we request NYPD assistance at Elmhurst Av.,qns m and r trains nypd assistance,8:43:29,8,43,M,,,
AM,MANH,struck by train,person,11/08/19,"Southbound N, Q, R and W trains have resumed making most regular stops while we investigate the area where a customer was struck by a train at 28 St.

Expect delays as we clear significant congestion.",manh n and q trains person struck by train,9:30:31,9,30,N,,,
PM,MANH,medical problems,person,11/08/19,Southbound Q trains are holding between 96 St and 72 St while we request medical assistance for someone at 72 St.,manh q trains medical assistance,6:41:08,6,41,Q,,,
AM,MANH,unsanitary train,person,11/08/19,"Southbound Q trains are running on the local track from 57 St-7 Av to Times Sq-42 St while we isolate a train with a soiled interior at Times Sq-42 St.

Expect delays in southbound service.",manh q train isolate car,8:05:55,8,5,Q,,,
PM,MANH,medical problems,person,11/08/19,Northbound R trains are delayed while we provide medical help to someone at City Hall.,manh r trains medical assistance,8:24:42,8,24,R,,,
PM,BKLYN,removed a train from service,train,11/08/19,Northbound R trains are delayed while we remove a vandalized train from service at 36 St (BKLYN).,bklyn r trains train removed from service,8:46:21,8,46,R,,,
PM,BKLYN,signal malfunction,train,11/08/19,Southbound R trains are delayed while our crews work to correct a signal malfunction at DeKalb Av.,bklyn r trains signal malfunction,2:36:07,2,36,R,,,
AM,MANH,struck by train,person,11/08/19,Southbound R and W trains are holding in stations while we get NYPD and EMS assistance for a customer who was struck by a train at 28 St.,manh r and w trains person struck by train,8:38:13,8,38,R,,,
PM,MANH,switch problems,train,11/08/19,Southbound F and M trains are delayed because of a switch problem near 57 St.,manh f/m trains switch problem,11:39:34,11,39,F,,,
AM,MANH,medical problems,person,11/09/19,Bronx-bound 1 and 2 trains are delayed while we get medical help for someone at Times Square-42 St.,manh 1 and 2 trains medical assistance,3:39:24,3,39,1,,,
AM,MANH,switch problems,train,11/09/19,Northbound 1 trains are delayed because of a switch problem at 137 St-City College.,manh 1 trains switch problem,1:47:03,1,47,1,,,
AM,MANH,brake activation,train,11/09/19,Bronx-bound 4 and 5 trains are delayed while we investigate why a train's brakes were activated at Fulton St.,manh 4 and 5 trains brake activation,4:10:13,4,10,4,,,
AM,MANH,brake activation,train,11/09/19,Bronx-bound 4 and 5 trains are delayed while we investigate why a train's brakes were activated at Fulton St.,manh 4 and 5 trains brake activation,3:15:49,3,15,4,,,
AM,MANH,track maintenance,train,11/09/19,Southbound 4 and 6 trains are running with delays because of track maintenance at 59 St.,manh 4 and 6 trains track maintenance,2:16:45,2,16,4,,,
AM,MANH,track maintenance,train,11/09/19,Northbound 4 and 5 trains are delayed because of track maintenance at Brooklyn Bridge-City Hall.,manh 4 and 5 trains track maintenance,2:39:19,2,39,4,,,
PM,BKLYN,unsanitary train,person,11/09/19,Northbound 4 trains are running with delays while we remove a soiled train car from service at Kingston Av.,bklyn 4 train soiled car,6:40:38,6,40,4,,,
PM,MANH,door problems,train,11/09/19,Northbound 6 trains are running with delays while we investigate a train with door problems at 51 St.,manh 6 train door problem,6:20:29,6,20,6,,,
PM,MANH,removed a train from service,train,11/09/19,You may experience longer than expected wait times for southbound 6 trains after we removed a train from service at 116 St.,manh 6 trains train removed from service,12:05:13,12,5,6,,,
PM,MANH,work trains,train,11/09/19,"Northbound 6 trains are running on the express track from Grand Central-42 St to 125 St while crews investigate a stalled work train at 86 St.

For service to/from the bypassed stations, take a southbound local train.

*Trains stop on the lower level at 59 St and 86 St.",manh 6 trains stalled work train,11:25:50,11,25,6,,,
PM,QNS,medical problems,person,11/09/19,Expect longer wait times in 34 St-bound 7 trains after we removed a train from service as a crew member helps someone get medical help at Junction Blvd.,qns 7 trains medical assistance,10:24:35,10,24,7,,,
AM,MANH,door problems,train,11/09/19,Southbound A and E trains are delayed while we remove a train with door problems from service at 14 St.,manh a and e trains door problems,1:04:41,1,4,A,,,
PM,MANH,mechanical problems,train,11/09/19,You may experience longer than expected wait times for southbound A trains after we removed a train with mechanical problems from service at 42 St-Port Authority Bus Terminal.,manh a trains train with mechanical problem,1:07:15,1,7,A,,,
AM,BKLYN,person on tracks,person,11/09/19,Expect longer wait times for southbound A trains after our crews assisted someone off the tracks at Grant Av.,bklyn a trains longer wait times,1:35:10,1,35,A,,,
AM,MANH,rail replacement,train,11/09/19,Uptown A and E trains are delayed while we perform rail replacement at West 4 St-Washington Square.,manh a and e trains rail replacement,5:10:01,5,10,A,,,
AM,QNS,track fire,other,11/09/19,Northbound A trains in the Rockaways are holding in their stations while we respond to a track fire at Aqueduct-North Conduit Av.,qns a train delays,11:30:47,11,30,A,,,
AM,MANH,disruptive passenger,person,11/09/19,Bronx-bound D trains are delayed while we request police assistance for a disruptive passenger at 145 St.,manh d trains police assistance,5:55:26,5,55,D,,,
PM,MANH,mechanical problems,train,11/09/19,Northbound E and F trains are running on the express track from Canal St to 42 St-Port Authority while we remove a train with mechanical problems from service at Spring St.,manh e and f trains mechanical problems,2:51:12,2,51,E,,,
AM,BKLYN,brake activation,train,11/09/19,Northbound F trains are running on the express track from Avenue X to 18 Av while we investigate why a train's brakes were activated at Bay Parkway.,bklyn f trains train with brake activation,8:47:38,8,47,F,,,
AM,BKLYN,sick passenger,person,11/09/19,Southbound F and G trains are proceeding with delays after we assisted a customer in need of medical attention at Smith-9 Sts.,bklyn f and g trains sick customer,1:46:39,1,46,F,,,
AM,MANH,track maintenance,train,11/09/19,Coney Island-bound F and Metropolitan Av-bound M trains are running at slower speeds because of track maintenance from 47-50 Sts-Rockefeller Center to West 4 St-Washington Square.,manh f and m trains slower speeds for track maintenance,1:10:03,1,10,F,,,
AM,BKLYN,track maintenance,train,11/09/19,"Southbound F and G trains are running on the express track from Smith-9 Sts to Church Av because of track maintenance at Church Av.

For service to/from the bypassed stations, take a northbound train.",bklyn f and g trains track maintenance,2:15:03,2,15,F,,,
AM,BKLYN,signal problems,train,11/09/19,Southbound G trains are running with delays because of a signal problem at Nassau Av.,bklyn g train signal problem,8:25:37,8,25,G,,,
PM,MANH,mechanical problems,train,11/09/19,Northbound N and R trains are significantly delayed while we work to remove a train with mechanical problems from service at Times Sq-42 St.,manh n and r trains mechanical problems,7:56:19,7,56,N,,,
AM,MANH,nypd investigation,person,11/09/19,"You may experience longer than expected wait times for southbound N, Q and R trains after NYPD completed an investigation at 34 St-Herald Sq.",manh n q and r trains nypd investigation,9:51:14,9,51,N,,,
PM,MANH,nypd investigation,person,11/09/19,Queens-bound N and R trains are delayed while NYPD conducts an investigation at 5 Av/59 St.,manh n and r trains nypd investigation,1:10:36,1,10,N,,,
AM,BKLYN,unsanitary train,person,11/09/19,Franklin Av shuttle trains are momentarily delayed while we remove an unsanitary train from service at Prospect Park.,bklyn franklin av shuttle trains unsanitary train,2:08:10,2,8,S,,,
PM,MANH,injured person,person,11/10/19,Southbound 1 trains are running with delays while we request NYPD and EMS assistance for an injured passenger at 181 St.,manh 1 trains injured passenger,4:27:24,4,27,1,,,
AM,MANH,sick passenger,person,11/10/19,Southbound 2 and 3 trains are making local stops from 72 St to Times Sq-42 St while we get EMS to assist someone at 72 St.,manh 2 and 3 trains sick customer,11:19:30,11,19,2,,,
AM,MANH,brake activation,train,11/10/19,"Northbound 4 and 6 trains are running on the express track from Grand Central-42 St to 125 St while we investigate a train that had its brake activation at 86 St.

For service to/from the bypassed stations, take a southbound local train.

*Trains stop on the lower level at 59 St and 86 St.",manh 4 and 6 trains brake activation,5:34:20,5,34,4,,,
PM,MANH,brake activation,train,11/10/19,Southbound 4 and 5 trains are running on the local track from 125 St to 42 St while our crews investigate why a train's brakes were activated at 59 St.,manh 4 and 5 trains brake activation,9:53:59,9,53,4,,,
AM,BKLYN,door problems,train,11/10/19,Northbound 4 and 5 trains are delayed while we move a train with a door problem at Bergen St.,bklyn 4 and 5 trains door problem,8:08:52,8,8,4,,,
AM,MANH,brake activation,train,11/10/19,Flatbush Av-bound 5 trains are delayed while the crew investigates why a train's brakes were activated at 86 St.,manh 5 trains brake activation,2:53:04,2,53,5,,,
PM,BX,injured customer,person,11/10/19,Southbound 5 trains are delayed while we get EMS assistance for an injured customer at 138 St-Grand Concourse.,bx 5 trains injured customer,11:59:52,11,59,5,,,
AM,BKLYN,vandalized trains,person,11/10/19,Expect longer wait times in Wakefield-bound 5 train service after we removed a vandalized train from service at Franklin Av.,bklyn 5 train vandalized train removed from service,3:42:47,3,42,5,,,
PM,MANH,unsanitary train,person,11/10/19,34 St-bound 7 trains are delayed while we remove an unsanitary train from service at 111 St.,manh 7 trains unsanitary train,11:11:14,11,11,7,,,
AM,BKLYN,brake activation,train,11/10/19,207 St-bound A trains are delayed while the crew investigates why a train's brakes were activated at Shepherd Av.,bklyn a trains brake activation,2:25:24,2,25,A,,,
AM,MANH,door problems,train,11/10/19,Southbound A and D trains are running on the local track from 125 St to Canal St while we work to remove a train with door problems from service at 125 St.,manh a and d trains door problems,8:51:32,8,51,A,,,
PM,MANH,switch problems,train,11/10/19,Southbound A trains are bypassing Dyckman St while our crews work to correct a switch malfunction at that station.,manh a trains switch malfunction,12:31:06,12,31,A,,,
PM,MANH,police activity,person,11/10/19,"There are delays and multiple impacts to C and E service while NYPD responds to a report of a disruptive passenger at 34 St-Penn Station.

Northbound C trains are running express from Canal St to 59 St-Columbus Circle.

Northbound E trains are running express from Canal St to 42 St-Port Authority/Bus Terminal.",manh c and e trains police activity,4:17:30,4,17,C,,,
AM,MANH,sick passenger,person,11/10/19,Southbound C trains are proceeding with delays after we provided EMS assistance to someone at 145 St.,manh c trains sick passenger,11:53:54,11,53,C,,,
PM,MANH,brake activation,train,11/10/19,Southbound D trains are delayed after someone pulled the emergency cord that caused the train's brakes to activate at 42 St-Bryant Park.,manh d trains brake activation,10:31:25,10,31,D,,,
PM,MANH,sick passenger,person,11/10/19,Northbound D trains are delayed while we get medical help for someone at 34 St-Herald Sq.,manh d trains sick passenger,7:24:14,7,24,D,,,
AM,QNS,gap in service,other,11/10/19,Due to a gap in service expect longer wait times for southbound E and F trains.,qns e and f trains gap in service,12:11:17,12,11,E,,,
PM,MANH,door problems,train,11/10/19,Expect longer wait times for Stillwell Av-bound F and Metropolitan-bound M trains after we removed a train with a door problem from service at 34 St - Herald Sq.,manh f and m trains door problem,3:55:05,3,55,F,,,
PM,BKLYN,signal malfunction,train,11/10/19,Southbound F trains are running at slower speeds while our crews work to correct a signal malfunction at Avenue P.,bklyn f trains signal malfunction,8:03:38,8,3,F,,,
AM,BKLYN,mechanical problems,train,11/10/19,L trains are delayed in both directions while our crews work to move a train with mechanical problems at East 105 St.,bklyn l trains mechanical problems,11:01:04,11,1,L,,,
AM,,network communications issue,train,11/10/19,L trains are delayed in both directions between Manhattan and Brooklyn while our crews work to correct a network communication issue at 3 Av.,manh/bklyn l trains network communication issue,9:05:57,9,5,L,,,
AM,MANH,network communications issue,train,11/10/19,The last stop on some Manhattan-bound L trains will be Bedford Av while we investigate network communication issues at 14 St-Union Sq.,manh l train network communication,8:36:26,8,36,L,,,
PM,MANH,switch problems,train,11/10/19,L trains are running with delays in both directions while our crews work to correct a switch problem at 14 St-Union Sq.,manh l trains switch problem,2:12:52,2,12,L,,,
PM,MANH,mechanical problems,train,11/10/19,Northbound N trains are running with delays while we investigate a train with mechanical problems at Kings Hwy.,manh n trains mechanical problems,2:29:06,2,29,N,,,
PM,BX,mechanical problems,train,11/11/19,Southbound 2 and 5 trains are delayed while our crews work to move a train with mechanical problems at Intervale Av.,bx 2 and 5 trains mechanical problem,5:08:53,5,8,2,,,
PM,BKLYN,mechanical problems,train,11/11/19,Northbound 2 and 5 trains are delayed while we remove a train with mechanical problems from service at Church Av.,bklyn 2 and 5 trains train removed from service,3:16:19,3,16,2,,,
AM,MANH,medical problems,person,11/11/19,Southbound 2 and 3 trains are running local from 72 St to Times Sq-42 St while we get medical help for a passenger at 72 St.,manh 2 and 3 trains medical assistance,8:14:48,8,14,2,,,
AM,MANH,struck by train,person,11/11/19,"Northbound 2 trains are running via the 5 line from Nevins St to 149 St-Grand Concourse because a customer was struck by a train at 125 St.

Northbound 3 trains are ending at 96 St.",manh 2 and 3 trains customer struck by a train,9:26:18,9,26,2,,,
AM,MANH,brake activation,train,11/11/19,Southbound 4 and 5 trains are running local from 125 St to Grand Central-42 St while we investigate a train that had its brake activation at 86 St.,manh 4 and 5 trains brake activation,1:46:11,1,46,4,,,
PM,MANH,disruptive passenger,person,11/11/19,Southbound 4 and 5 trains are running with delays while we request police for a disruptive passenger at Wall St.,manh 4 and 5 trains disruptive passenger,5:37:45,5,37,4,,,
