no,which,ampm,borough,cause,date,fulldate,message,subject,time,train,,
33,NYC,PM,MANH,medical problems,10/14/2019,10/14/2019 7:41:43 PM,Northbound 2 and 3 trains are holding in stations in Manhattan while we request EMS assistance for someone in need of medical assistance at Central Park North (110 St).,manh 2 and 3 trains medical assistance,7:41:43,"2, 3",,
10,NYC,PM,MANH,medical problems,10/14/2019,10/14/2019 1:39:57 PM,Southbound 1 trains are running with delays while they share the local tracks with 2 and 3 trains so we can get medical help for someone.,manh 1 train medical help,1:39:57,1,,
35,NYC,PM,BX,medical problems,10/14/2019,10/14/2019 5:13:31 PM,Southbound B and D trains are proceeding with delays after we got medical assistance for someone at 161 St-Yankee Stadium.,bx b and d trains medical assistance-earlier incident,5:13:31,"B, D",,
25,NYC,PM,QNS,medical problems,10/14/2019,10/14/2019 3:04:02 PM,"Forest Hills-bound M and R trains are running along the express track from Jackson Hts-Roosevelt Av to Forest Hills-71 Av while we request EMS assistance for someone at Elmhurst Av.

For service to/from bypassed stations, take a southbound train.",qns m and r trains medical assistance,3:04:02,"M, R",,
19,NYC,PM,MANH,medical problems,10/14/2019,10/14/2019 8:29:24 PM,Southbound N and Q trains are running on the R line from Canal St to Atlantic Av-Barclays Ctr while we request medical help for someone at Canal St.,manh n and q trains medical help,8:29:24,"N, Q",,
12,NYC,PM,MANH,medical problems,10/14/2019,10/14/2019 1:37:28 PM,"Southbound 2 and 3 trains are running on the local track from 34 St-Penn Station to 14 St while we get medical help for someone at 34 St-Penn Station.

Expect delays in southbound service.",manh 2 and 3 trains medical help,1:37:28,"2, 3",,
33,NYC,PM,MANH,medical problems,10/14/2019,10/14/2019 7:41:43 PM,Northbound 2 and 3 trains are holding in stations in Manhattan while we request EMS assistance for someone in need of medical assistance at Central Park North (110 St).,manh 2 and 3 trains medical assistance,7:41:43,"2, 3",,
10,NYC,PM,MANH,medical problems,10/14/2019,10/14/2019 1:39:57 PM,Southbound 1 trains are running with delays while they share the local tracks with 2 and 3 trains so we can get medical help for someone.,manh 1 train medical help,1:39:57,1,,
35,NYC,PM,BX,medical problems,10/14/2019,10/14/2019 5:13:31 PM,Southbound B and D trains are proceeding with delays after we got medical assistance for someone at 161 St-Yankee Stadium.,bx b and d trains medical assistance-earlier incident,5:13:31,"B, D",,
38,NYC,PM,QNS,medical problems,10/15/2019,10/15/2019 5:05:57 PM,71 Av-bound M and R trains are running express from Queens Plaza to Jackson Hts-Roosevelt Av while we request EMS assistance for someone at 46 St.,qns m and r trains medical assistance,5:05:57,"M, R",,
35,NYC,PM,QNS,medical problems,10/15/2019,10/15/2019 5:08:54 PM,Expect delays in northbound E and F trains while they share the express track with M and R trains as we await EMS assistance for someone at 46 St.,qns e and f trains medical assistance,5:08:54,"E, F",,
25,NYC,PM,QNS,medical problems,10/15/2019,10/15/2019 3:52:13 PM,"Some 34 St-Hudson Yards-bound 7 trains are running express from 74 St-Broadway to Queensboro Plaza while we request EMS assistance for someone at 40 St-Lowery St.

For service to/from bypassed stations, take an Flushing-Main St-bound 7 train.

Expect delays in 7 train service.",qns 7 trains medical assistance,3:52:13,7,,
6,NYC,PM,MANH,medical problems,10/15/2019,10/15/2019 6:01:06 PM,Expect longer wait times in northbound 6 train service while we request EMS assistance for someone at 14 St-Union Sq.,manh 6 trains medical assistance,6:01:06,6,,
8,NYC,PM,MANH,medical problems,10/15/2019,10/15/2019 5:58:55 PM,"Northbound 4 and 5 trains are running on the local track from 14 St-Union Sq to Grand Central-42 St while we request EMS for someone at 14 St-Union Sq.

Expect delays in northbound 4 and 5 train service.",manh 4 and 5 trains medical assistance,5:58:55,"4, 5",,
20,NYC,PM,MANH,medical problems,10/15/2019,10/15/2019 9:31:27 PM,Northbound 2 and 3 trains are running on the local track from Chambers St to Times Sq-42 St while we request EMS for someone at 14 St.,manh 2 and 3 trains medical assistance,9:31:27,"2, 3",,
10,NYC,AM,BKLYN,medical problems,10/15/2019,10/15/2019 7:06:53 AM,N trains are running with delays in both directions while we get medical help for a passenger at Coney Island-Stillwell Av.,bklyn n trains medical help,7:06:53,N,,
38,NYC,PM,QNS,medical problems,10/15/2019,10/15/2019 5:05:57 PM,71 Av-bound M and R trains are running express from Queens Plaza to Jackson Hts-Roosevelt Av while we request EMS assistance for someone at 46 St.,qns m and r trains medical assistance,5:05:57,"M, R",,
35,NYC,PM,QNS,medical problems,10/15/2019,10/15/2019 5:08:54 PM,Expect delays in northbound E and F trains while they share the express track with M and R trains as we await EMS assistance for someone at 46 St.,qns e and f trains medical assistance,5:08:54,"E, F",,
25,NYC,PM,QNS,medical problems,10/15/2019,10/15/2019 3:52:13 PM,"Some 34 St-Hudson Yards-bound 7 trains are running express from 74 St-Broadway to Queensboro Plaza while we request EMS assistance for someone at 40 St-Lowery St.

For service to/from bypassed stations, take an Flushing-Main St-bound 7 train.

Expect delays in 7 train service.",qns 7 trains medical assistance,3:52:13,7,,
6,NYC,PM,MANH,medical problems,10/15/2019,10/15/2019 6:01:06 PM,Expect longer wait times in northbound 6 train service while we request EMS assistance for someone at 14 St-Union Sq.,manh 6 trains medical assistance,6:01:06,6,,
8,NYC,PM,MANH,medical problems,10/15/2019,10/15/2019 5:58:55 PM,"Northbound 4 and 5 trains are running on the local track from 14 St-Union Sq to Grand Central-42 St while we request EMS for someone at 14 St-Union Sq.

Expect delays in northbound 4 and 5 train service.",manh 4 and 5 trains medical assistance,5:58:55,"4, 5",,
20,NYC,PM,MANH,medical problems,10/15/2019,10/15/2019 9:31:27 PM,Northbound 2 and 3 trains are running on the local track from Chambers St to Times Sq-42 St while we request EMS for someone at 14 St.,manh 2 and 3 trains medical assistance,9:31:27,"2, 3",,
10,NYC,AM,BKLYN,medical problems,10/15/2019,10/15/2019 7:06:53 AM,N trains are running with delays in both directions while we get medical help for a passenger at Coney Island-Stillwell Av.,bklyn n trains medical help,7:06:53,N,,
2,NYC,PM,MANH,medical problems,10/16/2019,10/16/2019 2:34:48 PM,241 St-bound 1 trains are running on the express track from 72 St to 96 St while we request EMS and NYPD for someone at 86 St.,manh 1 trains medical assistance,2:34:48,1,,
27,NYC,PM,BX,medical problems,10/16/2019,10/16/2019 7:43:11 PM,Northbound 5 trains are running local from 3 Av-149 St to E 180 St while we request medical assistance for someone at E 180 St.,bx 5 trains medical assistance,7:43:11,5,,
5,NYC,AM,BKLYN,medical problems,10/16/2019,10/16/2019 10:26:02 AM,Southbound F and G trains are proceeding with delays after we removed a train from service at 7 Av after EMS helped a member of the train crew.,bklyn f and g trains medical assistance,10:26:02,"F, G",,
18,NYC,PM,MANH,medical problems,10/17/2019,10/17/2019 9:45:25 PM,Southbound F and Metropolitan Av-bound M trains are holding in stations while we request medical assistance for someone at 2 Av.,manh f and m trains medical assistance,9:45:25,"F, M",,
7,NYC,PM,MANH,medical problems,10/17/2019,10/17/2019 9:59:13 PM,"Expect delays in A, C and E trains while we reroute F trains because someone requires medical assistance at 2 Av.",manh a c and e trains medical assistance,9:59:13,"A, C, E",,
44,NYC,PM,MANH,medical problems,10/17/2019,10/17/2019 8:37:04 PM,Southbound 2 and 3 trains are running with delays while we request EMS assistance for someone at 34 St Penn Station.,manh 2 and 3 trains medical assistance,8:37:04,"2, 3",,
6,NYC,AM,BKLYN,medical problems,10/17/2019,10/17/2019 8:37:52 AM,"Northbound Q trains are running express from Kings Highway to Prospect Park while we get medical help for someone at Avenue H.

Northbound B trains are running with delays.",bklyn q trains medical help,8:37:52,Q,,
1,NYC,AM,BKLYN,medical problems,10/17/2019,10/17/2019 10:11:28 AM,8 Av-bound L trains are holding in station while we get medical help for someone at Bedford Av.,bklyn l trains medical help,10:11:28,L,,
4,NYC,PM,BKLYN,medical problems,10/17/2019,10/17/2019 3:31:32 PM,Broad St-bound J and 71 Av-bound M trains are holding in stations while we request medical assistance for someone at Lorimer St.,bklyn j and m trains medical assistance,3:31:32,"J, M",,
39,NYC,PM,BKLYN,medical problems,10/17/2019,10/17/2019 7:10:28 PM,Court Sq-bound G trains are holding in stations while we request medical assistance for someone at Carroll St.,bklyn g trains medical assistance,7:10:28,G,,
40,NYC,PM,BKLYN,medical problems,10/17/2019,10/17/2019 7:09:40 PM,"Northbound F trains are running express from Church Av to Jay St-MetroTech while we request medical assistance for someone at Carroll St.

For service to/from bypassed stations, consider using southbound F or Church Av-bound G trains.",bklyn f trains medical assistance,7:09:40,F,,
41,NYC,PM,QNS,medical problems,10/18/2019,10/18/2019 6:28:43 PM,Northbound F trains are proceeding with delays after we requested medical assistance for someone at Roosevelt Island.,qns f trains medical assistance,6:28:43,F,,
10,NYC,AM,MANH,medical problems,10/18/2019,10/18/2019 11:05:09 AM,Northbound 6 trains are proceeding with delays after we investigated reports that someone needed medical help at Grand Central-42 St.,manh 6 train medical help,11:05:09,6,,
21,NYC,AM,MANH,medical problems,10/18/2019,10/18/2019 7:19:54 AM,Southbound 2 and 5 trains are delayed while we investigate reports that someone needs medical help on a train at 149 St-Grand Concourse.,manh 2 and 5 trains medical help,7:19:54,"2, 5",,
46,NYC,PM,BKLYN,medical problems,10/18/2019,10/18/2019 2:33:55 PM,Southbound J trains are holding in stations while we request EMS and NYPD assistance for someone at Cleveland St.,bklyn j trains medical assistance,2:33:55,J,,
3,NYC,PM,BKLYN,medical problems,10/18/2019,10/18/2019 3:49:35 PM,Southbound 4 and 5 trains are running local from Atlantic Av-Barclays Ctr to Franklin Av while we request medical assistance for someone at Borough Hall.,bklyn 4 and 5 trains medical assistance,3:49:35,"4, 5",,
37,NYC,AM,BX,medical problems,10/19/2019,10/19/2019 10:05:17 AM,"Southbound 4 trains are running express from Burnside Av to 149 St-Grand Concourse while we get medical help for a customer at 167 St.

For service to/from bypassed stations, take a northbound train.",bx 4 train medical help,10:05:17,4,,
30,NYC,AM,MANH,medical problems,10/21/2019,10/21/2019 9:48:13 AM,Southbound F and M trains are proceeding with delays after someone needed medical assistance at Broadway-Lafayette St.,manh f and m trains medical help,9:48:13,"F, M",,
15,NYC,AM,MANH,medical problems,10/21/2019,10/21/2019 10:30:13 AM,Southbound 6 trains are proceeding with delays after NYPD assisted a customer in need of medical help at 59 St.,manh 6 train medical help,10:30:13,6,,
13,NYC,AM,QNS,medical problems,10/22/2019,10/22/2019 9:31:58 AM,You may experience longer than expected waits for southbound N and W trains after we got medical help for someone at Queensboro Plaza.,qns n and w trains medical help,9:31:58,"N, W",,
25,NYC,PM,QNS,medical problems,10/22/2019,10/22/2019 3:29:54 PM,"Southbound N and W trains are running express from Astoria-Ditmars Blvd to Queensboro Plaza while we request medical assistance for someone at Broadway.

For service to/from bypassed stations, consider using northbound N and W train service.",qns n and w trains medical assistance,3:29:54,"N, W",,
0,NYC,PM,QNS,medical problems,10/22/2019,10/22/2019 6:30:35 PM,E trains are delayed in both directions while we request EMS assistance for someone at Jamaica Center-Parsons/Archer.,qns e trains medical assistance,6:30:35,E,,
10,NYC,PM,QNS,medical problems,10/22/2019,10/22/2019 8:39:21 PM,Southbound E and F trains are delayed while we request EMS assistance for someone at Jackson Hts-Roosevelt Av.,qns e and f trains medical assistance,8:39:21,"E, F",,
20,NYC,PM,MANH,medical problems,10/22/2019,10/22/2019 8:15:42 PM,"There are delays and multiple impacts to service on the A B C and D trains while we request EMS assistance for someone at 59 St-Columbus Circle. 

Southbound A trains are running on the local track from 59 St-Columbus Circle to Canal St. 

Expect longer wait times in southbound A B C and D train service.",manh a b c and d trains medical assistance,8:15:42,"A, B, C, D",,
32,NYC,AM,MANH,medical problems,10/22/2019,10/22/2019 8:47:09 AM,Southbound A and C trains are delayed while we request medical help for someone at Fulton St.,manh a and c trains medical help,8:47:09,"A, C",,
5,NYC,PM,QNS,medical problems,10/23/2019,10/23/2019 5:44:27 PM,Main St-bound 7 trains are holding in stations while we request NYPD and EMS assistance for someone in medical distress at 33 St-Rawson St.,qns 7 trains medical assistance,5:44:27,7,,
48,NYC,PM,BX,medical problems,10/23/2019,10/23/2019 2:52:38 PM,Northbound 2 and 5 trains are delayed while we request medical assistance for someone at E 180 St.,bx 2 and 5 trains medical assistance,2:52:38,"2, 5",,
47,NYC,PM,MANH,medical problems,10/24/2019,10/24/2019 4:28:28 PM,"179 St-bound F trains and 71 Av-bound M trains are running on the express track from W 4 St-Washington Sq to 34 St-Herald Sq while we request EMS assistance for someone at 14 St.

For service to/from bypassed stations, take a southbound train.",manh f and m trains medical assistance,4:28:28,"F, M",,
21,NYC,PM,MANH,medical problems,10/24/2019,10/24/2019 3:44:25 PM,Northbound 6 trains are running express from 14 St-Union Sq to Grand Central-42 St while we request EMS assistance for someone at 33 St.,manh 6 trains medical assistance,3:44:25,6,,
20,NYC,PM,MANH,medical problems,10/24/2019,10/24/2019 3:46:37 PM,Expect delays in northbound 4 and 5 trains as they share the express track with 6 trains while we wait for EMS assistance for someone at 33 St.,manh 4 and 5 trains medical assistance,3:46:37,"4, 5",,
45,NYC,PM,BX,medical problems,10/24/2019,10/24/2019 6:39:10 PM,Northbound 2 and 5 trains are delayed while we request EMS assistance for someone at Jackson Av.,bx 2 and 5 trains medical assistance,6:39:10,"2, 5",,
14,NYC,PM,QNS,medical problems,10/25/2019,10/25/2019 12:48:34 PM,"Northbound E trains are running on the F line from W 4 St-Wash Sq to Jackson Hts-Roosevelt Av while we get medical help for someone at Court Sq.

Northbound M trains are running on the F line from 47-50 Sts Rockefeller Ctr to 36 St.

Expect delays in northbound service.",qns e and m trains medical help,12:48:34,"E, M",,
13,NYC,PM,QNS,medical problems,10/25/2019,10/25/2019 2:13:23 PM,Northbound E and F trains are running local from 21 St-Queensbridge or Queens Plaza to Jackson Hts-Roosevelt Av while we request medical assistance for a person at Jackson Hts-Roosevelt Av.,qns e and f trains medical assistance,2:13:23,"E, F",,
49,NYC,PM,MANH,medical problems,10/25/2019,10/25/2019 5:28:09 PM,"Southbound A trains are running on the local track from 59 St-Columbus Circle to Canal St while we request EMS assistance for someone at 34 St-Penn Station.

Expect delays in A, C and E train service.",manh a trains medical assistance,5:28:09,A,,
35,NYC,AM,BX,medical problems,10/25/2019,10/25/2019 8:41:54 AM,Southbound 6 trains are running with delays while we get medical help for someone at 3 Av-138 St.,bx 6 trains medical help,8:41:54,6,,
26,NYC,AM,BKLYN,medical problems,10/26/2019,10/26/2019 10:06:31 AM,Northbound 4 trains are running express from Utica Av to Atlantic Av-Barclays Ctr while we request medical help for someone at Nostrand Av.,bklyn 4 trains medical help,10:06:31,4,,
29,NYC,AM,,medical problems,10/27/2019,10/27/2019 9:23:37 AM,42 St S trains are delayed in both directions while we request medical help for someone at Times Sq-42 St.,mah 42 st s trains medical help,9:23:37,S,,
22,NYC,PM,QNS,medical problems,10/28/2019,10/28/2019 7:15:08 PM,Metropolitan Av-bound M trains are running with delays in both directions while we request medical assistance for someone at Middle Village-Metropolitan Av.,qns m trains medical assistance,7:15:08,M,,
48,NYC,PM,MANH,medical problems,10/28/2019,10/28/2019 6:28:35 PM,Southbound R and W trains are running express from 34 St-Herald Sq to Canal St while we request medical assistance for someone at 28 St.,manh r and w trains medical assistance,6:28:35,"R, W",,
46,NYC,PM,MANH,medical problems,10/28/2019,10/28/2019 6:30:31 PM,Expect delays in N and Q trains as they share the track with rerouted R and W trains while we await medical assistance for someone at 28 St.,manh n and q trains medical assistance,6:30:31,"N, Q",,
42,NYC,AM,BKLYN,medical problems,10/28/2019,10/28/2019 7:45:16 AM,Southbound F and G trains are delayed while we get medical help for someone at Church Av.,bklyn 4 and 5 trains medical help,7:45:16,"4, 5",,
14,NYC,PM,MANH,medical problems,10/29/2019,10/29/2019 8:36:48 PM,You may experience longer waits for E train service while we provide medical help to someone at World Trade Center.,manh e trains medical help,8:36:48,E,,
25,NYC,PM,MANH,medical problems,10/29/2019,10/29/2019 4:48:00 PM,Northbound B and D trains are running with delays while we request medical assistance for someone at W 4 St-Washington Sq.,manh b and d trains medical assistance,4:48:00,"B, D",,
12,NYC,PM,BKLYN,medical problems,10/29/2019,10/29/2019 1:43:28 PM,Northbound B and Q trains are delayed while we get medical help for someone at Kings Hwy.,bklyn b and q trains medical help,1:43:28,"B, Q",,
40,NYC,PM,MANH,medical problems,10/30/2019,10/30/2019 2:03:20 PM,"Southbound F trains are running on C line from W 4 St-Washington Sq to Jay St-MetroTech while we get medical help for someone at Delancey St.

For service to/from bypassed stations, consider using northbound F train service.",manh f trains medical help,2:03:20,F,,
8,NYC,AM,MANH,medical problems,10/30/2019,10/30/2019 7:50:33 AM,Southbound 2 and 3 trains will run via the local track from 72 St to 34 St-Penn Station while we get medical help for a passenger at Times Sq-42 St.,manh 2 and 3 trains medical assistance,7:50:33,"2, 3",,
45,NYC,PM,BKLYN,medical problems,10/30/2019,10/30/2019 1:51:35 PM,2 and 5 trains are running with delays in both directions while we get medical help for someone at Flatbush Av-Brooklyn College.,bklyn 2 and 5 trains medical help,1:51:35,"2, 5",,
29,NYC,AM,BKLYN,medical problems,10/30/2019,10/30/2019 8:41:01 AM,Expect longer wait times in Brooklyn on southbound 2 and 3 trains after we got medical assistance for a passenger at Times Sq-42 St.,bklyn 2 and 3 trains medical assistance,8:41:01,"2, 3",,
23,NYC,PM,MANH,medical problems,10/31/2019,10/31/2019 5:16:32 PM,"Southbound R trains are stopping along the Q line from Canal St to DeKalb Av while we request medical assistance for someone at Canal St. 

Southbound W trains are holding in stations in Manhattan.",manh r and w trains medical assistance,5:16:32,"R, W",,
23,NYC,AM,MANH,medical problems,10/31/2019,10/31/2019 9:36:46 AM,L trains may experience delays entering and leaving 8 Av while we get medical help for someone at that station.,manh l train medical help,9:36:46,L,,
37,NYC,PM,MANH,medical problems,10/31/2019,10/31/2019 3:53:53 PM,Expect delays in 6 train service as they share the local track with 4 and 5 trains while we request EMS assistance for someone at 59 St.,manh 6 trains medical assistance,3:53:53,6,,
38,NYC,PM,MANH,medical problems,10/31/2019,10/31/2019 3:52:52 PM,Southbound 4 and 5 trains are running on the local track from 125 St to 42 St while we request EMS assistance for someone at 59 St.,manh 4 and 5 trains medical assistance,3:52:52,"4, 5",,
44,NYC,PM,BKLYN,move work equipment,10/3/2019,10/3/2019 3:08:59 PM,"There are service changes and delays in D and N trains in Brooklyn while we remove the power to safely move work equipment between 9 Av and Bay Pkwy.

Some southbound D trains are ending at Bay Pkwy.

Expect delays in D and N train service.",bklyn d and n trains power removal to move work equipment,3:08:59,"D, N",,
47,NYC,PM,QNS,moved work equipment,10/16/2019,10/16/2019 11:54:27 PM,A trains are proceeding with delays between Rockaway Blvd and Far Rockaway-Mott Av after we moved work equipment into place for tonight's planned work.,qns a trains move work equipment,11:54:27,A,,
5,NYC,AM,QNS,network communications issue,10/14/2019,10/14/2019 6:54:26 AM,7 and 7 express trains are running with delays in both directions after a train experienced a network communications issue at Court Sq.,qns 7 train network communications issue,6:54:26,7,,
24,NYC,PM,QNS,network communications issue,10/14/2019,10/14/2019 12:53:27 PM,Northbound 7 trains are delayed while we move a train experiencing a network communication issue near 90 St-Elmhurst Av.,qns 7 train network communication issue,12:53:27,7,,
31,NYC,PM,"MANH, QNS",network communications issue,10/14/2019,10/14/2019 5:22:43 PM,"Expect longer waits for a 7 or 7 express train during tonight's rush hour because of a network connectivity issue. Trains may operate at slow speeds.

For alternative service between Manhattan and Queens, consider taking an E/F/M/R train.",manh and qns 7 trains network connectivity issue,5:22:43,7,,
5,NYC,AM,QNS,network communications issue,10/14/2019,10/14/2019 6:54:26 AM,7 and 7 express trains are running with delays in both directions after a train experienced a network communications issue at Court Sq.,qns 7 train network communications issue,6:54:26,7,,
24,NYC,PM,QNS,network communications issue,10/14/2019,10/14/2019 12:53:27 PM,Northbound 7 trains are delayed while we move a train experiencing a network communication issue near 90 St-Elmhurst Av.,qns 7 train network communication issue,12:53:27,7,,
31,NYC,PM,"MANH, QNS",network communications issue,10/14/2019,10/14/2019 5:22:43 PM,"Expect longer waits for a 7 or 7 express train during tonight's rush hour because of a network connectivity issue. Trains may operate at slow speeds.

For alternative service between Manhattan and Queens, consider taking an E/F/M/R train.",manh and qns 7 trains network connectivity issue,5:22:43,7,,
13,NYC,AM,BX,nypd activity,10/1/2019,10/1/2019 10:17:47 AM,2 and 5 trains are bypassing E 180 St in both directions while NYPD conduct an investigation at that station.,bx 2 and 5 trains nypd activity,10:17:47,"2, 5",,
11,NYC,PM,MANH,nypd activity,10/2/2019,10/2/2019 1:56:35 PM,"Northbound B, D, F and M trains are proceeding with delays after earlier NYPD activity at 42 St-Bryant Park.",manh f and m trains nypd activity,1:56:35,"F, M",,
7,NYC,AM,BKLYN,nypd activity,10/2/2019,10/2/2019 1:39:05 AM,"Coney Island-bound D, N, Atlantic Av-bound Q and 95 St-bound R trains are delayed while we request NYPD assistance for a disruptive passenger at Atlantic Av-Barclays Center.",bklyn d n q and r trains nypd assistance,1:39:05,"D, N, Q, R",,
33,NYC,AM,BKLYN,nypd activity,10/2/2019,10/2/2019 9:13:43 AM,"There are service changes and delays on A and C trains because of NYPD activity at Liberty Av.

Northbound A trains are running local from Broadway Junction to Hoyt-Schermerhorn.

Northbound C trains are running express from Euclid Av to Broadway Junction.",bklyn a and c trains nypd activity,9:13:43,"A, C",,
40,NYC,PM,BKLYN,nypd activity,10/3/2019,10/3/2019 1:37:24 PM,Jamaica-bound J trains are delayed because of NYPD activity at Cypress Av.,bklyn j trains nypd activity,1:37:24,J,,
26,NYC,AM,MANH,nypd activity,10/4/2019,10/4/2019 7:01:11 AM,Southbound B trains are proceeding with delays after we held a train for NYPD at 155 St.,manh b trains nypd activity,7:01:11,B,,
26,NYC,AM,MANH,nypd activity,10/4/2019,10/4/2019 10:31:09 AM,Expect longer wait times for southbound 4 and 5 trains in Manhattan because of earlier NYPD activity at 125 St.,manh 4 and 5 trains nypd activity,10:31:09,"4, 5",,
17,NYC,AM,BKLYN,nypd activity,10/4/2019,10/4/2019 9:25:48 AM,Northbound A and C trains are stopping on the F line from Jay St-MetroTech to W 4 St-Washington Sq while NYPD responds to a disruptive person at High St.,bklyn a and c trains nypd activity,9:25:48,"A, C",,
4,NYC,PM,MANH,nypd activity,10/8/2019,10/8/2019 8:31:09 PM,Southbound A trains are running on the local track from 59 St-Columbus Circle to Canal St because of NYPD activity at 42 St Port-Authority Bus Terminal.,manh a trains nypd activity,8:31:09,A,,
47,NYC,PM,MANH,nypd activity,10/8/2019,10/8/2019 1:00:51 PM,Northbound F and M trains are running with delays after earlier NYPD activity at 23 St.,manh f and m trains earlier nypd ctivity,1:00:51,"F, M",,
4,NYC,PM,MANH,nypd activity,10/9/2019,10/9/2019 6:58:47 PM,Expect longer wait times for Southbound 4 trains after we requested NYPD assistance with a disruptive passenger at 14 St - Union Sq.,manh 4 train nypd assistance,6:58:47,4,,
40,NYC,AM,BKLYN,nypd activity,10/10/2019,10/10/2019 8:25:20 AM,Broad St-bound J trains are running with delays while we get NYPD for a disruptive passenger at Broadway Junction.,bklyn j trains nypd activity,8:25:20,J,,
,NYC,AM,MANH,nypd activity,10/11/2019,10/11/2019 10:29:00 AM,Northbound 1 trains are delayed while we remove a train from service and request NYPD assistance at 18 St., NYPD Assistance,,1,,
40,NYC,PM,BX,nypd activity,10/11/2019,10/11/2019 10:33:13 PM,205 St-bound D trains had resumed making local stops from Tremont Av to Kingsbridge Rd after we received a report of a disruptive passenger at Fordham Rd.,updated: bx d trains nypd assistance,10:33:13,D,,
42,NYC,PM,BX,nypd activity,10/11/2019,10/11/2019 10:29:47 PM,"205 St-bound D trains are running on the express track from Tremont Av to Kingsbridge Rd while we request NYPD for a disruptive passenger at Fordham Rd.

For bypassed stations, take a Coney Island-bound D train.",bx d trains nypd assistance,10:29:47,D,,
47,NYC,PM,QNS,nypd activity,10/13/2019,10/13/2019 6:15:11 PM,Southbound F trains are holding in stations while NYPD responds to a passenger altercation at 21 St-Queensbridge.,qns f trains nypd activity,6:15:11,F,,
47,NYC,PM,QNS,nypd activity,10/13/2019,10/13/2019 6:15:11 PM,Southbound F trains are holding in stations while NYPD responds to a passenger altercation at 21 St-Queensbridge.,qns f trains nypd activity,6:15:11,F,,
49,NYC,PM,SI,nypd activity,10/15/2019,10/15/2019 3:09:22 PM,"Westbound SIR trains are bypassing Huguenot because of NYPD activity at that station.

For service from/to Huguenot, take an eastbound train.",si sir trains nypd activity,3:09:22,,,
49,NYC,PM,SI,nypd activity,10/15/2019,10/15/2019 3:09:22 PM,"Westbound SIR trains are bypassing Huguenot because of NYPD activity at that station.

For service from/to Huguenot, take an eastbound train.",si sir trains nypd activity,3:09:22,,,
49,NYC,PM,BKLYN,nypd activity,10/17/2019,10/17/2019 10:37:13 PM,8 Av-bound L trains are delayed because of NYPD activity at Lorimer St.,bklyn l train nypd activity,10:37:13,L,,
24,NYC,AM,MANH,nypd activity,10/18/2019,10/18/2019 8:30:26 AM,Southbound N and Q trains are delayed while NYPD responds to a request for assistance at 14 St-Union Sq.,manh n and q trains nypd assistance,8:30:26,"N, Q",,
11,NYC,PM,MANH,nypd activity,10/20/2019,10/20/2019 12:43:05 PM,"Northbound A trains are running on the local track from Canal St to 59 St-Columbus Circle while we get EMS and NYPD for a customer at 34 St-Penn Station.

Expect delays in northbound service.",manh a train ems/nypd assistance,12:43:05,A,,
32,NYC,AM,BKLYN,nypd activity,10/20/2019,10/20/2019 8:40:14 AM,Expect longer waits for northbound 4 trains while we request NYPD assistance at New Lots Av.,bklyn 4 train nypd assistance,8:40:14,4,,
4,NYC,AM,MANH,nypd activity,10/21/2019,10/21/2019 6:42:46 AM,"Southbound 4 and 5 trains are running on the local track from Grand Central-42 St to 14 St-Union Sq while NYPD responds to a request for assistance at 14 St-Union Sq.

Expect delays in southbound service.",manh 4 and 5 trains nypd assistance,6:42:46,"4, 5",,
47,NYC,PM,BKLYN,nypd activity,10/24/2019,10/24/2019 6:37:17 PM,Northbound D trains are getting back on schedule after an NYPD investigation at 71 St.,bklyn d trains nypd assistance,6:37:17,D,,
23,NYC,AM,MANH,nypd activity,10/25/2019,10/25/2019 12:39:56 AM,Northbound 6 service is delayed while we request NYPD and EMS assistance for a sick passenger at 125 St.,manh 6 train nypd assistance,12:39:56,6,,
38,NYC,PM,BKLYN,nypd activity,10/25/2019,10/25/2019 1:13:04 PM,"Southbound B trains are running on the local track from Prospect Park to Kings Hwy while we request NYPD assistance at Church Av.

Expect delays in southbound service.",bklyn b and q trains nypd assistance,1:13:04,"B, Q",,
42,NYC,PM,BKLYN,nypd activity,10/25/2019,10/25/2019 1:10:29 PM,Southbound B and Q trains are delayed while we request NYPD assistance at Church Av.,bklyn b and q trains nypd assistance,1:10:29,"B, Q",,
31,NYC,AM,MANH,nypd activity,10/26/2019,10/26/2019 12:47:57 AM,Southbound 4 and 6 trains are delayed while we request police assistance at 116 St.,manh 4 and 6 trains nypd activity,12:47:57,"4, 6",,
31,NYC,AM,BKLYN,nypd activity,10/27/2019,10/27/2019 2:43:19 AM,Southbound A trains are delayed while we request NYPD and EMS assistance at Ralph Av.,bklyn a train nypd assistance,2:43:19,A,,
29,NYC,PM,BKLYN,nypd activity,10/28/2019,10/28/2019 7:02:04 PM,Southbound A trains are holding in stations because of NYPD activity at Nostrand Av.,bklyn a trains nypd activity,7:02:04,A,,
29,NYC,AM,MANH,nypd activity,10/29/2019,10/29/2019 7:27:35 AM,"4, 5 and 6 trains are bypassing Grand Central-42 St in both directions because of NYPD activity at that station.",manh 4 5 and 6 trains nypd activity,7:27:35,"4, 5, 6",,
0,NYC,AM,QNS,nypd activity,10/31/2019,10/31/2019 10:21:10 AM,"Northbound M and R trains will run via the express track from Queens Plaza to Forest Hills-71 Av because of NYPD activity at 36 St (QNS). 

For service to/from bypassed stations, take a southbound train.",qns m and r trains nypd activity,10:21:10,"M, R",,
