no,which,ampm,borough,cause,date,message,subject,time,train
24,NYC,AM,MANH,injured person,11/08/19,"There is no 3 train service between Times Square-42 St and Harlem-148 St, while emergency teams assist an injured passenger at (Central Park North) 110 St. 
For continuing service, see a station agent and receive a free courtesy pass to nearby bus service.",manh 3 trains injured passenger,1:16:33,3
45,NYC,PM,MANH,mechanical problems,11/08/19,Southbound 4 and 5 trains are delayed because of a work train with mechanical problems at Grand Central-42 St.,manh 4 and 5 trains mechanical problems,3:56:21,"4, 5"
43,NYC,AM,MANH,mechanical problems,11/08/19,Southbound 1 trains are delayed while we remove a train with a mechanical problem from service at 215 St.,manh 1 train mechanical problem,11:48:43,1
40,NYC,AM,BKLYN,mechanical problems,11/08/19,Expect longer waits for Court Sq-bound G trains because of a mechanical problem on a train at Church Av.,bklyn g train mechanical problem,7:41:17,g
8,NYC,AM,BKLYN,mechanical problems,11/08/19,"Northbound D, N and Q trains are delayed because of a work train experiencing a mechanical problem on the Manhattan Bridge. 

For service from Brooklyn to Manhattan, consider taking 2 or 4 train service.",bklyn d n and q trains mechanical problem,2:14:27,"d, n, q"
46,NYC,PM,MANH,medical problems,11/08/19,Northbound R trains are delayed while we provide medical help to someone at City Hall.,manh r trains medical assistance,8:24:42,r
37,NYC,PM,MANH,medical problems,11/08/19,Southbound Q trains are holding between 96 St and 72 St while we request medical assistance for someone at 72 St.,manh q trains medical assistance,6:41:08,q
43,NYC,PM,MANH,medical problems,11/08/19,7 trains are delayed in both directions while we request medical assistance for someone at 34 St-Hudson Yards.,manh 7 trains medical assistance,9:47:14,7
37,NYC,AM,MANH,medical problems,11/08/19,Southbound 1 trains are running express from 96 St to 72 St while we request medical help for someone 96 St.,manh 1 trains medical help,8:49:11,1
1,NYC,AM,BKLYN,medical problems,11/08/19,Northbound 4 and 5 trains are proceeding with delays after NYPD assisted a customer at Borough Hall.,bklyn 4 and 5 trains medical help,7:23:17,"4, 5"
34,NYC,AM,QNS,network communications issue,11/08/19,Expect longer waits for 34 St-bound 7 and 7 express trains after an earlier network connectivity issue at the storage facility.,qns 7 train network communications issue,7:50:07,7
41,NYC,AM,QNS,nypd activity,11/08/19,M and R trains are being held in stations in both directions while we request NYPD assistance at Elmhurst Av.,qns m and r trains nypd assistance,8:43:29,"m, r"
26,NYC,AM,QNS,nypd activity,11/08/19,Southbound E and F trains are running with delays while R trains are running on the express track as NYPD responds to Elmhurst Av.,qns e and f trains nypd assistance,9:05:04,"e, f"
26,NYC,PM,QNS,nypd investigation,11/08/19,34 St-bound 7 trains are delayed because of an NYPD investigation at Queensboro Plaza.,qns 7 train nypd investigation,10:38:29,7
16,NYC,PM,MANH,nypd investigation,11/08/19,Southbound A B C D service is delayed while NYPD responds to a customer altercation at 59 St-Columbus Circle.,manh a b c and d trains nypd investigation,3:11:38,"a, b, c, d"
31,NYC,PM,QNS,removed a train from service,11/08/19,Northbound F trains are holding in stations in Queens while we remove a train from service at Briarwood.,qns f trains train removed from service,7:02:06,f
32,NYC,PM,BKLYN,removed a train from service,11/08/19,Northbound R trains are delayed while we remove a vandalized train from service at 36 St (BKLYN).,bklyn r trains train removed from service,8:46:21,r
42,NYC,PM,BX,signal malfunction,11/08/19,Southbound 4 and 5 trains are moving at slower speeds between 149 St-Grand Concourse and 138 St-Grand Concourse while our crews work to correct a signal malfunction at 138 St-Grand Concourse.,bx 4 and 5 trains signal malfunction,4:00:14,"4, 5"
32,NYC,PM,BKLYN,signal malfunction,11/08/19,Southbound R trains are delayed while our crews work to correct a signal malfunction at DeKalb Av.,bklyn r trains signal malfunction,2:36:07,r
45,NYC,PM,BKLYN,signal malfunction,11/08/19,Parsons-Archer-bound J trains are delayed while we work to correct a signal malfunction at Van Siclen Av.,bklyn j trains signal malfunction,8:27:13,j
15,NYC,AM,QNS,signal problems,11/08/19,Expect longer wait times in Queens for Jamaica-bound E trains because of an earlier signal problem at Jackson Hts-Roosevelt Av.,qns e train signal problem,5:45:09,e
49,NYC,AM,MANH,signal problems,11/08/19,South Ferry-bound 1 trains are running with delays while we investigate a signal problem at 96 St.,manh 1 train signal problem,10:12:27,1
8,NYC,PM,MANH,unsanitary train,11/08/19,Southbound 2 and 3 trains are holding in stations in upper Manhattan while we remove a soiled train car from service at 96 St.,manh 2 and 3 trains soiled car,9:33:15,"2, 3"
17,NYC,AM,MANH,unsanitary train,11/08/19,"Southbound Q trains are running on the local track from 57 St-7 Av to Times Sq-42 St while we isolate a train with a soiled interior at Times Sq-42 St.

Expect delays in southbound service.",manh q train isolate car,8:05:55,q
45,NYC,AM,MANH,struck by train,11/08/19,Southbound R and W trains are holding in stations while we get NYPD and EMS assistance for a customer who was struck by a train at 28 St.,manh r and w trains person struck by train,8:38:13,"r, w"
15,NYC,AM,MANH,struck by train,11/08/19,"Southbound N, Q, R and W trains have resumed making most regular stops while we investigate the area where a customer was struck by a train at 28 St.

Expect delays as we clear significant congestion.",manh n and q trains person struck by train,9:30:31,"n, q"
5,NYC,AM,BKLYN,struck by train,11/08/19,A trains are delayed in both directions while we investigate a report of someone that was struck by a train at Grant Av.,bklyn a trains investigation of a person struck by a train,2:20:23,"a, a, a"
38,NYC,AM,,struck by train,11/08/19,Expect longer wait times in 59 St-bound A train service after someone was struck by a train at Chambers St.,manh/bklyn/qns a trains longer wait times,12:41:14,a
45,NYC,AM,MANH,struck by train,11/08/19,Continue to expect longer wait times in 207 St-bound A trains in Manhattan after someone was struck by a train earlier at Grant Av.,manh a trains longer wait times,4:51:55,a
5,NYC,PM,MANH,switch problems,11/08/19,Southbound F and M trains are delayed because of a switch problem near 57 St.,manh f/m trains switch problem,11:39:34,
47,NYC,AM,MANH,switch problems,11/08/19,"Some southbound 5 trains will run on the local track from 125 St to Brooklyn Bridge-City Hall to provide local service while 6 trains are delayed.

Expect delays in southbound service.",manh 5 train switch problem,7:27:59,5
3,NYC,AM,BX,switch problems,11/08/19,Southbound 6 local and 6 express express trains are running with delays while we address a switch problem at Parkchester,bx 6 trains switch problem,7:20:00,6
41,NYC,AM,MANH,unauthorized person,11/08/19,Downtown 2 and 3 trains are delayed while we remove power at the request of the police to respond to an unauthorized person on the tracks at (Central Park North)110 St.,manh 2 and 3 trains unauthorized person on the tracks,12:38:01,"2, 3"
22,NYC,AM,MANH,brakes activated,11/09/19,Bronx-bound 4 and 5 trains are delayed while we investigate why a train's brakes were activated at Fulton St.,manh 4 and 5 trains brakes activated,4:10:13,"4, 5"
45,NYC,AM,MANH,brakes activated,11/09/19,Bronx-bound 4 and 5 trains are delayed while we investigate why a train's brakes were activated at Fulton St.,manh 4 and 5 trains brakes activated,3:15:49,"4, 5"
3,NYC,AM,BKLYN,brakes activated,11/09/19,Northbound F trains are running on the express track from Avenue X to 18 Av while we investigate why a train's brakes were activated at Bay Parkway.,bklyn f trains train with brakes activated,8:47:38,f
26,NYC,AM,MANH,"disruptive passenger, police assistance",11/09/19,Bronx-bound D trains are delayed while we request police assistance for a disruptive passenger at 145 St.,manh d trains police assistance,5:55:26,d
16,NYC,AM,MANH,door problems,11/09/19,Southbound A and E trains are delayed while we remove a train with door problems from service at 14 St.,manh a and e trains door problems,1:04:41,"a, e"
48,NYC,PM,MANH,door problems,11/09/19,Northbound 6 trains are running with delays while we investigate a train with door problems at 51 St.,manh 6 train door problem,6:20:29,6
19,NYC,PM,MANH,mechanical problems,11/09/19,Northbound N and R trains are significantly delayed while we work to remove a train with mechanical problems from service at Times Sq-42 St.,manh n and r trains mechanical problems,7:56:19,"n, r"
3,NYC,PM,MANH,mechanical problems,11/09/19,Northbound E and F trains are running on the express track from Canal St to 42 St-Port Authority while we remove a train with mechanical problems from service at Spring St.,manh e and f trains mechanical problems,2:51:12,"e, f"
41,NYC,PM,MANH,mechanical problems,11/09/19,You may experience longer than expected wait times for southbound A trains after we removed a train with mechanical problems from service at 42 St-Port Authority Bus Terminal.,manh a trains train with mechanical problem,1:07:15,a
29,NYC,PM,QNS,medical problems,11/09/19,Expect longer wait times in 34 St-bound 7 trains after we removed a train from service as a crew member helps someone get medical help at Junction Blvd.,qns 7 trains medical assistance,10:24:35,7
35,NYC,AM,MANH,medical problems,11/09/19,Bronx-bound 1 and 2 trains are delayed while we get medical help for someone at Times Square-42 St.,manh 1 and 2 trains medical assistance,3:39:24,"1, 2"
44,NYC,AM,MANH,nypd investigation,11/09/19,"You may experience longer than expected wait times for southbound N, Q and R trains after NYPD completed an investigation at 34 St-Herald Sq.",manh n q and r trains nypd investigation,9:51:14,"n, q, r"
36,NYC,PM,MANH,nypd investigation,11/09/19,Queens-bound N and R trains are delayed while NYPD conducts an investigation at 5 Av/59 St.,manh n and r trains nypd investigation,1:10:36,"n, r"
48,NYC,AM,BKLYN,person on tracks,11/09/19,Expect longer wait times for southbound A trains after our crews assisted someone off the tracks at Grant Av.,bklyn a trains longer wait times,1:35:10,a
7,NYC,AM,MANH,rail replacement work,11/09/19,Uptown A and E trains are delayed while we perform rail replacement work at West 4 St-Washington Square.,manh a and e trains rail replacement work,5:10:01,"a, e"
9,NYC,PM,MANH,removed a train from service,11/09/19,You may experience longer than expected wait times for southbound 6 trains after we removed a train from service at 116 St.,manh 6 trains train removed from service,12:05:13,6
39,NYC,AM,BKLYN,sick passenger,11/09/19,Southbound F and G trains are proceeding with delays after we assisted a customer in need of medical attention at Smith-9 Sts.,bklyn f and g trains sick customer,1:46:39,"f, g"
10,NYC,AM,BKLYN,signal problems,11/09/19,Southbound G trains are running with delays because of a signal problem at Nassau Av.,bklyn g train signal problem,8:25:37,g
42,NYC,PM,BKLYN,unsanitary train,11/09/19,Northbound 4 trains are running with delays while we remove a soiled train car from service at Kingston Av.,bklyn 4 train soiled car,6:40:38,4
30,NYC,AM,BKLYN,unsanitary train,11/09/19,Franklin Av shuttle trains are momentarily delayed while we remove an unsanitary train from service at Prospect Park.,bklyn franklin av shuttle trains unsanitary train,2:08:10,
38,NYC,AM,MANH,switch problems,11/09/19,Northbound 1 trains are delayed because of a switch problem at 137 St-City College.,manh 1 trains switch problem,1:47:03,1
21,NYC,AM,QNS,track fire,11/09/19,Northbound A trains in the Rockaways are holding in their stations while we respond to a track fire at Aqueduct-North Conduit Av.,qns a train delays,11:30:47,a
12,NYC,AM,MANH,track maintenance,11/09/19,Coney Island-bound F and Metropolitan Av-bound M trains are running at slower speeds because of track maintenance from 47-50 Sts-Rockefeller Center to West 4 St-Washington Square.,manh f and m trains slower speeds for track maintenance,1:10:03,"f, m"
24,NYC,AM,MANH,track maintenance,11/09/19,Southbound 4 and 6 trains are running with delays because of track maintenance at 59 St.,manh 4 and 6 trains track maintenance,2:16:45,"4, 6"
7,NYC,AM,MANH,track maintenance,11/09/19,Northbound 4 and 5 trains are delayed because of track maintenance at Brooklyn Bridge-City Hall.,manh 4 and 5 trains track maintenance,2:39:19,"4, 5"
26,NYC,AM,BKLYN,track maintenance,11/09/19,"Southbound F and G trains are running on the express track from Smith-9 Sts to Church Av because of track maintenance at Church Av.

For service to/from the bypassed stations, take a northbound train.",bklyn f and g trains track maintenance,2:15:03,"f, g"
13,NYC,PM,MANH,work trains,11/09/19,"Northbound 6 trains are running on the express track from Grand Central-42 St to 125 St while crews investigate a stalled work train at 86 St.

For service to/from the bypassed stations, take a southbound local train.

*Trains stop on the lower level at 59 St and 86 St.",manh 6 trains stalled work train,11:25:50,6
34,NYC,PM,MANH,brakes activated,11/10/19,Southbound D trains are delayed after someone pulled the emergency cord that caused the train's brakes to activate at 42 St-Bryant Park.,manh d trains brakes activated,10:31:25,d
8,NYC,AM,MANH,brakes activated,11/10/19,Flatbush Av-bound 5 trains are delayed while the crew investigates why a train's brakes were activated at 86 St.,manh 5 trains brakes activated,2:53:04,5
11,NYC,AM,MANH,brakes activated,11/10/19,"Northbound 4 and 6 trains are running on the express track from Grand Central-42 St to 125 St while we investigate a train that had its brakes activated at 86 St.

For service to/from the bypassed stations, take a southbound local train.

*Trains stop on the lower level at 59 St and 86 St.",manh 4 and 6 trains brakes activated,5:34:20,"4, 6"
44,NYC,PM,MANH,brakes activated,11/10/19,Southbound 4 and 5 trains are running on the local track from 125 St to 42 St while our crews investigate why a train's brakes were activated at 59 St.,manh 4 and 5 trains brakes activated,9:53:59,"4, 5"
19,NYC,AM,BKLYN,brakes activated,11/10/19,207 St-bound A trains are delayed while the crew investigates why a train's brakes were activated at Shepherd Av.,bklyn a trains brakes activated,2:25:24,a
28,NYC,PM,MANH,door problems,11/10/19,Expect longer wait times for Stillwell Av-bound F and Metropolitan-bound M trains after we removed a train with a door problem from service at 34 St - Herald Sq.,manh f and m trains door problem,3:55:05,"f, m"
3,NYC,AM,MANH,door problems,11/10/19,Southbound A and D trains are running on the local track from 125 St to Canal St while we work to remove a train with door problems from service at 125 St.,manh a and d trains door problems,8:51:32,"a, d"
21,NYC,AM,BKLYN,door problems,11/10/19,Northbound 4 and 5 trains are delayed while we move a train with a door problem at Bergen St.,bklyn 4 and 5 trains door problem,8:08:52,"4, 5"
2,NYC,AM,QNS,gap in service,11/10/19,Due to a gap in service expect longer wait times for southbound E and F trains.,qns e and f trains gap in service,12:11:17,"e, f"
6,NYC,PM,BX,injured customer,11/10/19,Southbound 5 trains are delayed while we get EMS assistance for an injured customer at 138 St-Grand Concourse.,bx 5 trains injured customer,11:59:52,5
15,NYC,PM,MANH,injured person,11/10/19,Southbound 1 trains are running with delays while we request NYPD and EMS assistance for an injured passenger at 181 St.,manh 1 trains injured passenger,4:27:24,1
46,NYC,PM,MANH,mechanical problems,11/10/19,Northbound N trains are running with delays while we investigate a train with mechanical problems at Kings Hwy.,manh n trains mechanical problems,2:29:06,n
11,NYC,AM,BKLYN,mechanical problems,11/10/19,L trains are delayed in both directions while our crews work to move a train with mechanical problems at East 105 St.,bklyn l trains mechanical problems,11:01:04,l
49,NYC,AM,,network communications issue,11/10/19,L trains are delayed in both directions between Manhattan and Brooklyn while our crews work to correct a network communication issue at 3 Av.,manh/bklyn l trains network communication issue,9:05:57,l
8,NYC,AM,MANH,network communications issue,11/10/19,The last stop on some Manhattan-bound L trains will be Bedford Av while we investigate network communication issues at 14 St-Union Sq.,manh l train network communication,8:36:26,l
17,NYC,PM,MANH,police activity,11/10/19,"There are delays and multiple impacts to C and E service while NYPD responds to a report of a disruptive passenger at 34 St-Penn Station.

Northbound C trains are running express from Canal St to 59 St-Columbus Circle.

Northbound E trains are running express from Canal St to 42 St-Port Authority/Bus Terminal.",manh c and e trains police activity,4:17:30,"c, e"
36,NYC,PM,MANH,sick passenger,11/10/19,Northbound D trains are delayed while we get medical help for someone at 34 St-Herald Sq.,manh d trains sick passenger,7:24:14,d
45,NYC,AM,MANH,sick passenger,11/10/19,Southbound C trains are proceeding with delays after we provided EMS assistance to someone at 145 St.,manh c trains sick passenger,11:53:54,c
6,NYC,AM,MANH,sick passenger,11/10/19,Southbound 2 and 3 trains are making local stops from 72 St to Times Sq-42 St while we get EMS to assist someone at 72 St.,manh 2 and 3 trains sick customer,11:19:30,"2, 3"
30,NYC,PM,BKLYN,signal malfunction,11/10/19,Southbound F trains are running at slower speeds while our crews work to correct a signal malfunction at Avenue P.,bklyn f trains signal malfunction,8:03:38,f
23,NYC,PM,MANH,unsanitary train,11/10/19,34 St-bound 7 trains are delayed while we remove an unsanitary train from service at 111 St.,manh 7 trains unsanitary train,11:11:14,7
4,NYC,PM,MANH,switch problems,11/10/19,L trains are running with delays in both directions while our crews work to correct a switch problem at 14 St-Union Sq.,manh l trains switch problem,2:12:52,l
33,NYC,PM,MANH,switch problems,11/10/19,Southbound A trains are bypassing Dyckman St while our crews work to correct a switch malfunction at that station.,manh a trains switch malfunction,12:31:06,a
49,NYC,AM,BKLYN,vandalized trains,11/10/19,Expect longer wait times in Wakefield-bound 5 train service after we removed a vandalized train from service at Franklin Av.,bklyn 5 train vandalized train removed from service,3:42:47,5
29,NYC,PM,QNS,brakes activated,11/11/19,Northbound E and F trains are delayed while we investigate the cause of a train's brakes activating at Forest Hills-71 Av.,qns e and f trains brakes activated,11:57:11,"e, f"
11,NYC,AM,QNS,brakes activated,11/11/19,7 trains are running with delays in both directions because trains' brakes were activated at 33 St-Rawson St and 111 St.,qns 7 train brakes activated,6:41:53,7
17,NYC,AM,MANH,brakes activated,11/11/19,Northbound A trains are delayed while our crews investigate a train that had its brakes activated at 34 St-Penn Station.,manh a trains brakes activated,5:16:55,a
21,NYC,AM,MANH,brakes activated,11/11/19,Southbound 4 and 5 trains are running local from 125 St to Grand Central-42 St while we investigate a train that had its brakes activated at 86 St.,manh 4 and 5 trains brakes activated,1:46:11,"4, 5"
25,NYC,PM,BKLYN,brakes activated,11/11/19,Northbound N trains are delayed while we investigate why a train's brakes were activated at 86 St.,bklyn n trains brakes activated,9:09:12,n
15,NYC,PM,BKLYN,brakes activated,11/11/19,Northbound N trains are delayed while we investigate why a train's brakes were activated at Kings Hwy.,bklyn n trains brakes activated,4:23:24,n
1,NYC,PM,BKLYN,brakes activated,11/11/19,Coney Island-bound Q trains are holding in stations while our crews investigate the cause of a train's brakes activating at Avenue J.,bklyn j trains brakes activated,10:55:59,j
29,NYC,PM,MANH,disruptive passenger,11/11/19,Northbound A and D trains are running with delays while we request police assistance for a disruptive passenger at 59 St-Columbus Circle.,manh a and d trains disruptive passenger,8:46:44,"a, d"
37,NYC,PM,MANH,disruptive passenger,11/11/19,Southbound 4 and 5 trains are running with delays while we request police for a disruptive passenger at Wall St.,manh 4 and 5 trains disruptive passenger,5:37:45,"4, 5"
23,NYC,PM,MANH,door problems,11/11/19,Northbound 6 trains are delayed while we investigate a door problem on a train at 110 St.,manh 6 trains door problem,4:07:34,6
41,NYC,AM,BKLYN,door problems,11/11/19,Southbound N and R trains are proceeding with delays after we fixed a door problem on a train at 45 St.,bklyn n and r trains door problem,6:03:52,"n, r"
18,NYC,AM,MANH,ems help,11/11/19,Northbound C and E trains are proceeding with delays after EMS helped someone at W 4 St-Wash Sq.,manh c and e trains ems assistance,8:11:05,"c, e"
43,NYC,PM,SI,mechanical problems,11/11/19,SIR trains are running with delays eastbound because of a train with mechanical problems at St. George.,si sir trains mechanical problems,8:01:12,
41,NYC,PM,BX,mechanical problems,11/11/19,"There are delays and multiple impacts in 4 and 5 train service while our crews work to move a train with mechanical problems at 138 St-Grand Concourse.

Southbound 4 and 5 trains are bypassing 138 St-Grand Concourse.

Southbound 5 trains are running along the 2 line from 149 St-Grand Concourse to Nevins St.

For service to/from 138 St-Grand Concourse, take a northbound train.",bx 4 and 5 trains mechanical problems,5:33:04,"4, 5"
1,NYC,PM,BX,mechanical problems,11/11/19,Southbound 2 and 5 trains are delayed while our crews work to move a train with mechanical problems at Intervale Av.,bx 2 and 5 trains mechanical problem,5:08:53,"2, 5"
16,NYC,AM,BKLYN,mechanical problems,11/11/19,Northbound F trains are delayed while we remove a train with a mechanical problem from service at Neptune Av.,bklyn f train mechanical problem,8:13:50,f
36,NYC,PM,BKLYN,mechanical problems,11/11/19,Northbound 2 and 5 trains are delayed while we remove a train with mechanical problems from service at Church Av.,bklyn 2 and 5 trains train removed from service,3:16:19,"2, 5"
14,NYC,PM,MANH,medical problems,11/11/19,Southbound 6 trains are running with delays while we request EMS assistance for someone at Lexington Av-59 St.,manh 6 trains medical assistance,6:55:45,6
11,NYC,PM,MANH,medical problems,11/11/19,Expect longer wait times in southbound 4 and 5 train service while we request medical assistance for someone at Lexington Av-59 St.,manh 4 and 5 trains medical assistance,7:03:07,"4, 5"
15,NYC,AM,MANH,medical problems,11/11/19,Southbound 2 and 3 trains are running local from 72 St to Times Sq-42 St while we get medical help for a passenger at 72 St.,manh 2 and 3 trains medical assistance,8:14:48,"2, 3"
35,NYC,PM,BKLYN,medical problems,11/11/19,Northbound D trains are proceeding with delays after NYPD assisted someone at Bay Pkwy.,bklyn d train medical help,1:39:33,d
30,NYC,AM,BKLYN,medical problems,11/11/19,L trains are delayed in both directions while we get medical help for someone at Graham Av.,bklyn l train graham av,9:31:26,l
21,NYC,PM,BKLYN,removed a train from service,11/11/19,8 Av-bound L trains are delayed while we remove a train from service at Bushwick Av-Aberdeen St.,bklyn l trains train removed from service,4:10:18,l
46,NYC,PM,BKLYN,removed a train from service,11/11/19,Northbound A and C trains are holding in stations in Brooklyn while we remove a train from service at High St.,bklyn a and c trains train removed from service,5:23:42,"a, c"
49,NYC,AM,QNS,sick passenger,11/11/19,M trains are delayed in both directions while we get EMS assistance for a customer at Middle Village-Metropolitan Av.,qns m trains sick customer,3:16:46,m
24,NYC,PM,QNS,signal malfunction,11/11/19,Jamaica-bound J trains are delayed while our crews work to correct a signal malfunction at 121 St.,qns j trains signal malfunction,2:17:28,j
6,NYC,AM,BKLYN,signal problems,11/11/19,"F trains are running with extensive delays in both directions because of a signal problem at Avenue P.

Some southbound F trains will run express from Church Av to Kings Hwy.",bklyn f train signal problem,10:12:41,f
5,NYC,PM,QNS,unsanitary train,11/11/19,Main St-bound 7 trains are holding in stations while our crews isolate a train with a soiled interior at 33 St-Rawson.,qns 7 trains soiled train car,10:41:36,7
32,NYC,AM,MANH,struck by train,11/11/19,"Northbound 2 trains are running via the 5 line from Nevins St to 149 St-Grand Concourse because a customer was struck by a train at 125 St.

Northbound 3 trains are ending at 96 St.",manh 2 and 3 trains customer struck by a train,9:26:18,"2, 3, a"
32,NYC,PM,BKLYN,unauthorized person,11/11/19,J trains are moving at slower speeds in both directions while we request NYPD assistance for an unauthorized person on the tracks between Cleveland St and Norwood Av.,bklyn j trains unauthorized person on tracks,5:51:41,j
0,NYC,AM,SI,wet leaves,11/11/19,SIR trains are experiencing delays in both directions while we move trains at slower speeds because of wet leaves on the tracks.,si sir trians wet leaves,8:37:17,
4,NYC,AM,MANH,work trains,11/11/19,Southbound 6 trains are proceeding with delays after we moved a work train that had its brakes activated at 14 St-Union Sq.,manh 6 trains work train,12:15:21,6
34,NYC,PM,MANH,brakes activated,11/12/19,Northbound A and D trains are delayed while we investigate why a train's brakes were activated at 72 St.,manh a and d trains brakes activated,9:12:35,"a, d"
6,NYC,PM,MANH,brakes activated,11/12/19,Northbound 4 and 5 trains are running with delays while our crews investigate why a train's brakes were activated at 125 St.,manh 4 and 5 trains brakes activated,8:32:49,"4, 5"
29,NYC,PM,MANH,brakes activated,11/12/19,Uptown 4 and 5 trains are delayed while we investigate why a train's brakes activated at 125 St.,manh 4 5 trains brakes activated.,12:09:38,"4, 5"
21,NYC,PM,MANH,brakes activated,11/12/19,"There are delays and multiple impacts in 1, 2 and 3 train service while we investigate why a train's brakes were activated at 103 St. 

Some northbound 1 trains are ending at 34 St-Penn Station.

Some southbound 2 and 3 trains are running local from 96 St to Chambers St. 

Expect delays in both directions.",manh 1 2 and 3 trains brakes activated,6:40:06,"1, 2, 3"
24,NYC,PM,BX,brakes activated,11/12/19,"Southbound 4 trains are running express from Bedford Park Blvd-Lehman College to Burnside Av while we investigate why a train's brakes were activated at Kingsbridge Rd.

For service to/from bypassed stations, use northbound 4 train service.",bx 4 trains brakes activated,8:00:17,4
22,NYC,PM,MANH,disruptive passenger,11/12/19,59 St-bound A and Queens-bound E trains are delayed while we request the police to respond to a disruptive passenger at 50 St.,manh a and e trains disruptive passenger,11:33:42,"a, e"
28,NYC,PM,MANH,"disruptive passenger, NYPD",11/12/19,Expect longer wait times for southbound A and D trains after the NYPD responded to a disruptive person on a train at 59 St Columbus Circle.,manh a d trains disruptive person,1:49:42,"a, d"
14,NYC,AM,MANH,door problems,11/12/19,Northbound B and D trains are proceeding with delays after we fixed a door problem on a train at 34 St-Herald Sq.,manh b and d trains door problem,9:18:27,"b, d"
15,NYC,AM,MANH,door problems,11/12/19,"Southbound A and D trains are proceeding with delays after we fixed a door problem on a train at 125 St.

One southbound D train is running on the local track from 125 St to 59 St-Columbus Circle.",manh a and d train door problem,7:40:46,"a, d"
3,NYC,PM,MANH,door problems,11/12/19,Northbound 6 trains are delayed while our crews work to move a train with a door malfunction at 110 St.,manh 6 trains door malfunction,4:04:10,6
35,NYC,AM,MANH,mechanical problems,11/12/19,Northbound 6 trains are delayed while we remove a train with mechanical problems from service at Canal St.,manh 6 trains mechanical problems,8:39:18,6
16,NYC,AM,MANH,mechanical problems,11/12/19,You may experience a longer wait time for northbound 1 trains after we removed a train with mechanical problems from service.,manh 1 trains mechanical problems,9:08:54,1
32,NYC,AM,MANH,mechanical problems,11/12/19,Southbound 1 trains are running on the express tracks from 72 St to Times Sq-42 St while we remove a train with mechanical problems from service at 66 St-Lincoln Ctr.,manh 1 trains mechanical problems,8:42:55,1
45,NYC,PM,BX,mechanical problems,11/12/19,Expect longer wait times in New Lots Av-bound 4 trains while we remove a train with a mechanical problem from service at Burnside Av.,bx 4 trains mechanical problem,10:49:26,4
20,NYC,PM,BX,mechanical problems,11/12/19,Uptown 4 and 5 trains are proceeding with delays after we removed a train with mechanical problems from service at 138 St-Grand Concourse.,bx 4 5 train mechanical problem,12:28:50,"4, 5"
19,NYC,PM,BKLYN,mechanical problems,11/12/19,R trains are delayed in both directions in Brooklyn because of a train with mechanical problems at Bay Ridge-95 St.,bklyn r trains mechanical problems,4:59:45,r
27,NYC,AM,BKLYN,mechanical problems,11/12/19,Canarsie-bound L trains are delayed while we investigate a mechanical problem on a train at 1 Av.,bklyn l train,8:46:47,l
49,NYC,PM,MANH,medical problems,11/12/19,"Northbound F trains are stopping along the A line from Jay St-MetroTech to W 4 St-Washington Sq while we request medical assistance for someone at 2 Av.

For service to/from bypassed stations, use southbound F train service.",manh f trains medical assistance,7:13:28,f
25,NYC,AM,MANH,medical problems,11/12/19,Expect longer waits for southbound A and D trains after we helped a customer exit a train so they could get medical help at 59 St-Columbus Circle.,manh a and d trains medical help,8:50:46,"a, d"
8,NYC,PM,BX,medical problems,11/12/19,"Northbound 4 trains are running express from 149 St-Grand Concourse to Burnside Av while we request medical assistance for someone at 161 St-Yankee Stadium.

For service to/from bypassed stations, use southbound 4 train service.",bx 4 trains medical assistance,5:15:35,4
0,NYC,PM,BKLYN,medical problems,11/12/19,"8 Av-bound L trains are ending at Myrtle Av while we request medical assistance for someone at Lorimer St.

Expect delays in both directions.",bklyn l trains medical assistance,7:09:45,l
36,NYC,PM,BKLYN,medical problems,11/12/19,Expect longer wait times for southbound D and N train service after we requested medical assistance for someone at 36 St (Bklyn).,bklyn d and n trains medical assistance,4:25:15,"d, n"
33,NYC,PM,,network communications issue,11/12/19,7 and 7 express trains are holding in stations between 34 St-Hudson Yards and Queensboro Plaza in both directions because of network communication issues.,manh/qns 7 and 7 express trains network communication issues,6:11:40,"7, 7"
20,NYC,AM,MANH,nypd activity,11/12/19,Expect delays on southbound R and W trains while they share the local track with N and Q trains in Manhattan as NYPD responds to a request for assistance at 14 St-Union Sq.,manh r and w trains nypd activity,7:36:44,"r, w"
22,NYC,AM,MANH,nypd activity,11/12/19,"Southbound N and Q trains are running on the local track from Times Sq-42 St to Canal St while NYPD responds to a request for assistance at 14 St-Union Sq.

Expect delays in southbound service.",manh n and q trains nypd activity,7:33:46,"n, q"
22,NYC,AM,MANH,rail replacement work,11/12/19,1 and 2 trains are running with delays in both directions while our crews replace rails at 96 St.,manh 1 2 and 3 trains rail replacement,1:41:00,"1, 2, 3"
26,NYC,PM,BKLYN,removed a train from service,11/12/19,R trains are delayed in both directions in Brooklyn while we remove a vandalized train from service at Bay Ridge-95 St.,bklyn r trains train removed from service,7:58:14,r
31,NYC,PM,QNS,signal malfunction,11/12/19,There is no Rockaway Pk Shuttle train service between Broad Channel and Rockaway Park-Beach 116 St in both directions because of a signal malfunction at Rockaway Park-Beach 116 St.,qns rockaway park shuttle trains signal malfunction,7:49:23,
19,NYC,PM,SI,slippery rails,11/12/19,SIR trains are running with delays in both directions because of slippery rails caused by the inclement weather.,si sir trains slippery rails,6:41:02,
